PC1.SP,PC1.PV,PC1.OP,FC3.SP,FC3.PV,FC3.OP,TI1.PV,TI2.PV,LC1.SP,LC1.PV,LC1.OP,FI1.PV,FC1.SP,FC1.PV,FC1.OP,FC2.SP,FC2.PV,FC2.OP,PI1.PV,FC4.SP,FC4.PV,FC4.OP,TI5.PV,TI4.PV,TC1.SP,TC1.PV,TC1.OP,FC6.SP,FC6.PV,FC6.OP,TI6.PV,PC2.SP,PC2.PV,PC2.OP,LC3.SP,LC3.PV,LC3.OP,FI2.PV,FC5.SP,FC5.PV,FC5.OP,FI5.PV,TI3.PV,LC2.SP,LC2.PV,LC2.OP,FC8.SP,FC8.PV,FC8.OP,FI4.PV,TC2.SP,TC2.PV,TC2.OP,TI8.PV,TI7.PV,PI2.PV,FI3.PV,FC7.SP,FC7.PV,FC7.OP,Sample Time (seconds)
3.7501,3.739,56.972,5999.7,5998.5,24.264,82.62,62.746,54,54.188,49.819,29.773,8.078,8.0823,15.375,2.2319,2.2394,20.069,31.613,13.3997,13.425,13.559,89.622,95.871,105.791,105.775,23.955,1884.7,1877.4,40.069,117.13,7.6,7.5795,45.889,42,42.198,62.083,14.622,4.5982,4.5474,47.278,9.8956,29.065,42.998,42.495,6.6389,0.79931,0.81006,3.8681,2.4907,63.294,63.903,11.068,88.704,91.31,1.54457,1.9471,675,676.93,61.01,----
3.7501,3.7335,57.028,5999.7,6000.9,24.264,82.62,62.746,54,53.924,50.569,29.954,8.129,8.0851,15.899,2.2299,2.2366,20.056,31.585,13.3997,13.425,13.569,89.622,95.913,105.791,105.774,23.958,1887.3,1870.2,40.243,117.177,7.6,7.6267,46.778,42,42.198,62.083,14.774,4.5975,4.5537,47.333,9.8429,29.065,42.998,42.46,6.5278,0.79868,0.80575,3.7569,2.4884,63.294,63.903,11.034,88.704,91.26,1.55083,1.9579,675,675.18,61.024,20
3.7501,3.7057,57.306,6028.4,5990.1,24.396,82.67,62.746,54,53.907,50.653,28.129,8.163,8.0936,16.302,2.2335,2.2366,20.083,31.585,13.3997,13.369,13.67,89.663,95.955,105.791,105.816,23.872,1900.1,1908.2,39.681,117.224,7.6,7.5934,46.111,42,42.347,62.5,14.89,4.5891,4.577,46.944,9.9262,29.065,42.998,42.266,6.1389,0.79806,0.80575,3.5903,2.4942,63.294,63.903,11,88.704,91.26,1.53832,1.9631,675,677.66,60.927,20
3.7501,3.7223,57.167,6016.4,6000.9,24.323,82.67,62.746,54,53.927,50.569,29.747,8.1545,8.0964,16.524,2.2405,2.2338,20.139,31.696,13.3997,13.471,13.563,89.663,96.038,105.791,105.857,23.79,1887.3,1897.9,39.757,117.224,7.6,7.6545,47.389,42,42.191,62.153,14.693,4.5815,4.577,46.889,9.8734,29.096,42.998,42.384,6.3056,0.79743,0.80356,3.4896,2.5005,63.294,63.903,10.966,88.704,91.26,1.54457,1.9544,675,678.83,60.865,20
3.7501,3.7501,56.889,5992.5,6002.7,24.229,82.67,62.746,54,54.035,50.236,30.695,8.1205,8.0908,16.809,2.2352,2.2366,20.111,31.64,13.3997,13.271,13.792,89.705,96.121,105.791,105.941,23.62,1838.7,1843.7,39.66,117.318,7.6,7.6434,47.333,42,41.691,60.833,15.062,4.5641,4.5537,47,9.4424,29.096,42.998,42.401,6.3611,0.79968,0.80356,3.4479,2.4984,63.294,63.856,11.091,88.704,91.26,1.55396,1.8815,675,678.54,60.837,20
3.7501,3.7446,56.944,5997.3,5996.7,24.271,82.67,62.746,54,53.698,51.236,26.812,8.2224,8.0908,17.719,2.2352,2.2366,20.097,31.696,13.3997,13.425,13.698,89.747,96.163,105.791,105.983,23.534,1874.5,1892.9,39.389,117.365,7.6,7.6962,48.5,42,42.056,61.806,14.887,4.5558,4.5474,46.889,10.4051,29.096,42.998,42.453,6.4167,0.79918,0.80356,3.3576,2.5002,63.294,63.856,11.06,88.704,91.26,1.56334,1.9266,675,677.08,60.813,20
3.7501,3.739,57,6002.1,6000.9,24.264,82.67,62.788,54,53.886,50.653,29.766,8.163,8.0823,18.156,2.2299,2.2308,20.125,31.696,13.3997,13.425,13.667,89.788,96.288,105.791,106.066,23.364,1841.3,1852.9,39.406,117.365,7.6,7.7741,50.222,42,41.74,60.903,15.312,4.5384,4.5829,45.722,10.0296,29.096,42.998,42.408,6.3056,0.79856,0.80356,3.2569,2.505,63.294,63.856,11.029,88.787,91.31,1.56647,1.9016,675,679.76,60.715,20
3.7501,3.7362,57.028,6004.5,6009.2,24.24,82.67,62.788,54,53.657,51.319,28.504,8.2309,8.1021,19.035,2.2388,2.2308,20.194,31.696,13.3997,13.3637,13.795,89.788,96.33,105.791,106.15,23.193,1836.2,1839.2,39.427,117.458,7.6,7.7491,50,42,41.667,60.764,14.991,4.5217,4.577,45.333,10.185,29.096,42.998,42.377,6.1944,0.79806,0.80131,3.1979,2.5037,63.294,63.856,10.997,88.871,91.31,1.58524,1.8696,675,676.04,60.757,20
3.7501,3.7279,57.111,6011.6,5994.3,24.295,82.67,62.83,54,54.098,49.986,28.506,8.095,8.0993,18.997,2.2405,2.228,20.264,31.696,13.3997,13.435,13.74,89.83,96.371,105.791,106.191,23.104,1836.2,1840.6,39.368,117.458,7.6,7.7435,50.056,42,41.681,60.764,14.968,4.5127,4.5537,45.333,9.7526,29.127,42.998,42.394,6.25,0.79743,0.80356,3.0556,2.5004,63.294,63.856,10.966,88.912,91.31,1.60713,1.8272,675,677.81,60.694,20
3.7501,3.7724,56.667,5973.4,5998.5,24.111,82.67,62.788,54,53.813,50.903,29.922,8.1884,8.0823,19.729,2.2299,2.2197,20.333,31.64,13.3997,13.3277,13.854,89.872,96.413,105.791,106.233,23.016,1856.6,1869.5,39.233,117.458,7.6,7.7518,50.444,42,41.889,61.319,15.75,4.512,4.6003,44.111,9.9636,29.127,42.998,42.537,6.5278,0.79406,0.80131,2.9549,2.5037,63.294,63.856,10.934,88.954,91.36,1.59462,1.9489,675,678.38,60.639,20
3.7501,3.7807,56.583,5966.2,5973.4,24.153,82.71,62.746,54,53.882,50.653,28.52,8.163,8.0936,20.021,2.2352,2.2252,20.431,31.613,13.3997,13.3943,13.816,89.872,96.371,105.791,106.233,23.01,1803,1799.8,39.389,117.458,7.6,7.7074,49.722,42,41.361,59.861,14.473,4.5029,4.5537,44.611,10.0601,29.127,42.998,42.481,6.3611,0.79631,0.79906,2.9306,2.5065,63.294,63.856,10.903,88.996,91.36,1.61339,1.8915,675,676.93,60.719,20
3.7501,3.7446,56.917,5994.9,5969.2,24.229,82.67,62.746,54,53.837,50.819,28.697,8.1799,8.0908,20.441,2.2352,2.2197,20.542,31.668,13.3997,13.3637,13.847,89.872,96.33,105.791,106.191,23.088,1833.6,1833.1,39.212,117.411,7.6,7.5378,46.389,42,41.719,60.694,14.839,4.5106,4.5415,44.778,10.5855,29.127,42.998,42.405,6.1944,0.79581,0.79906,2.8542,2.5078,63.294,63.856,10.872,88.996,91.4,1.61965,1.7289,675,677.37,60.611,20
3.7501,3.8308,56.028,5918.5,5975.8,23.878,82.67,62.788,54,53.719,51.153,28.681,8.2139,8.0908,20.899,2.2299,2.2169,20.639,31.64,13.3997,13.496,13.691,89.83,96.246,105.791,106.066,23.333,1872,1860.5,39.66,117.271,7.6,7.4988,45.444,42,42.125,61.736,15.421,4.5356,4.5537,44.833,10.0712,29.127,42.998,42.478,6.3056,0.79518,0.79906,2.7465,2.5099,63.294,63.856,10.841,89.037,91.4,1.61339,1.9555,675,685.02,60.403,20
